,attraction,rate,reviews,attraction_url,reviews_url
43,44. Morocco Private Excursion,5.0,327,/Attraction_Review-g293734-d8064226-Reviews-Morocco_Private_Excursion-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d8064226-Reviews-Morocco_Private_Excursion-Marrakech_Marrakech_Safi.html
44,45. Souk Cuisine,4.5,289,/Attraction_Review-g293734-d1014909-Reviews-Souk_Cuisine-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d1014909-Reviews-Souk_Cuisine-Marrakech_Marrakech_Safi.html
45,46. Hammam Paradis,5.0,332,/Attraction_Review-g293734-d12135660-Reviews-Hammam_Paradis-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d12135660-Reviews-Hammam_Paradis-Marrakech_Marrakech_Safi.html
46,47. Tissir Jewellery,5.0,139,/Attraction_Review-g293734-d12937993-Reviews-Tissir_Jewellery-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d12937993-Reviews-Tissir_Jewellery-Marrakech_Marrakech_Safi.html
47,48. Amal Cooking Class,5.0,400,/Attraction_Review-g293734-d8125241-Reviews-Amal_Cooking_Class-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d8125241-Reviews-Amal_Cooking_Class-Marrakech_Marrakech_Safi.html
48,49. Chef Laila cooking classes,5.0,275,/Attraction_Review-g293734-d23929997-Reviews-Chef_Laila_cooking_classes-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d23929997-Reviews-Chef_Laila_cooking_classes-Marrakech_Marrakech_Safi.html
49,50. Miss Lalla Hammam Authentic & Spa,5.0,160,/Attraction_Review-g293734-d24185350-Reviews-Miss_Lalla_Hammam_Authentic_Spa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d24185350-Reviews-Miss_Lalla_Hammam_Authentic_Spa-Marrakech_Marrakech_Safi.html
50,51. Nice Experience Travel,5.0,155,/Attraction_Review-g293734-d14764851-Reviews-Nice_Experience_Travel-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d14764851-Reviews-Nice_Experience_Travel-Marrakech_Marrakech_Safi.html
51,52. Farnatchi Spa,4.5,252,/Attraction_Review-g293734-d10126668-Reviews-Farnatchi_Spa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d10126668-Reviews-Farnatchi_Spa-Marrakech_Marrakech_Safi.html
52,53. Morocco Travel Discovery,5.0,132,/Attraction_Review-g293734-d19125481-Reviews-Morocco_Travel_Discovery-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d19125481-Reviews-Morocco_Travel_Discovery-Marrakech_Marrakech_Safi.html
53,54. najlae el rhazi,5.0,226,/Attraction_Review-g293734-d17559305-Reviews-Najlae_el_rhazi-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d17559305-Reviews-Najlae_el_rhazi-Marrakech_Marrakech_Safi.html
54,55. LAMAI CHEF,5.0,165,/Attraction_Review-g293734-d25264334-Reviews-LAMAI_CHEF-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d25264334-Reviews-LAMAI_CHEF-Marrakech_Marrakech_Safi.html
55,56. Cook in Marrakesh with Ahmed and Hassan,5.0,172,/Attraction_Review-g293734-d25241502-Reviews-Cook_in_Marrakesh_with_Ahmed_and_Hassan-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d25241502-Reviews-Cook_in_Marrakesh_with_Ahmed_and_Hassan-Marrakech_Marrakech_Safi.html
56,57. Marrakech Henna Art Cafe,4.5,253,/Attraction_Review-g293734-d7343437-Reviews-Marrakech_Henna_Art_Cafe-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d7343437-Reviews-Marrakech_Henna_Art_Cafe-Marrakech_Marrakech_Safi.html
57,58. Linaya Transport,5.0,142,/Attraction_Review-g293734-d12804586-Reviews-Linaya_Transport-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d12804586-Reviews-Linaya_Transport-Marrakech_Marrakech_Safi.html
58,59. Taxis Marrakech Essaouira,5.0,106,/Attraction_Review-g293734-d17585209-Reviews-Taxis_Marrakech_Essaouira-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d17585209-Reviews-Taxis_Marrakech_Essaouira-Marrakech_Marrakech_Safi.html
59,60. Farm to Table Marrakech,5.0,79,/Attraction_Review-g293734-d19109750-Reviews-Farm_to_Table_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d19109750-Reviews-Farm_to_Table_Marrakech-Marrakech_Marrakech_Safi.html
60,61. Fatima  Zahra ALAOUI,5.0,159,/Attraction_Review-g293734-d17559436-Reviews-Fatima_Zahra_ALAOUI-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d17559436-Reviews-Fatima_Zahra_ALAOUI-Marrakech_Marrakech_Safi.html
